DEV_KEY,en,EN-UK,DE,PL,PT(BR),ES(MX),ES-ES,ID,SE,RU,FR,IT
onboarding_welcome_content_text_primary,Welcome to Rainbow.ai!,Welcome to Rainbow.ai!,Willkommen bei Rainbow.ai!,Witamy w Rainbow.ai!,Bem-vindo ao Rainbow.ai!,¡Bienvenido a Rainbow.ai!,Te damos la bienvenida a Rainbow.ai,Selamat datang di Rainbow.ai!,Välkommen till Rainbow.ai!,,,
onboarding_welcome_content_text_secondary,Get precise weather forecasts like never before.,Get precise weather forecasts like never before.,Genauere Wettervorhersagen als je zuvor.,Otrzymuj prognozy pogody dokładne jak nigdy dotąd.,Obtenha previsões meteorológicas precisas como nunca antes.,Obtén pronósticos meteorológicos precisos como nunca antes.,Consigue pronósticos meteorológicos precisos como nunca.,Dapatkan prakiraan cuaca presisi yang belum pernah ada sebelumnya.,Få exakta väderprognoser som aldrig förr.,,,
onboarding_welcome_action_primary,Continue,Continue,Fortfahren,Kontynuuj,Continuar,Continuar,Continuar,Lanjut,Fortsätt,,,
onboarding_location_prepermission_content_text_primary,"Your weather, your location","Your weather, your location","Ihr Wetter, Ihr Standort","Twoja pogoda, Twoja lokalizacja","Seu clima, sua localização","Tu clima, tu ubicación","Tu clima, tu ubicación","Cuaca Anda, lokasi Anda","Ditt väder, din plats",,,
onboarding_location_prepermission_content_text_secondary,Access real-time weather changes by sharing your location.,Access real-time weather changes by sharing your location.,Wetterveränderungen in Echtzeit dank Ortungsfunktion.,Udostępnij swoją lokalizację i otrzymuj informacje o zmianach pogody w czasie rzeczywistym.,Acesse mudanças climáticas em tempo real compartilhando sua localização.,Accede a los cambios meteorológicos en tiempo real al compartir tu ubicación.,Accede a los cambios meteorológicos en tiempo real al compartir tu ubicación.,Dapatkan akses perubahan cuaca waktu nyata dengan berbagi lokasi Anda.,Få tillgång till väderförändringar i realtid genom att dela din plats.,,,
onboarding_location_prepermission_action_primary,Continue,Continue,Fortfahren,Kontynuuj,Continuar,Continuar,Continuar,Lanjut,Fortsätt,,,
onboarding_location_prepermission_action_secondary,Continue without allowing,Continue without allowing,Fortfahren ohne Zugriff,Kontynuuj bez pozwalania,Continuar sem permitir,Continuar sin dar acceso,Continuar sin permitir,Lanjut tanpa izinkan,Fortsätt utan att tillåta,,,
onboarding_push_notifications_prepermission_content_text_primary,Be weather-ready,Be weather-ready,Bereit für jedes Wetter,Przygotuj się na pogodę,Esteja pronto para o clima,Prepárate para el clima,Prepárate para el tiempo,Jadilah siaga terhadap cuaca,Var beredd på vädret,,,
onboarding_push_notifications_prepermission_content_text_secondary,Enable notifications to stay informed about precipitation changes.,Enable notifications to stay informed about precipitation changes.,Benachrichtigung bei Niederschlagsänderungen aktivieren.,"Włącz powiadomienia, aby być na bieżąco ze zmianami opadów.",Ative as notificações para se manter informado sobre as mudanças na precipitação.,Activa las notificaciones para estar informado de los cambios en las precipitaciones.,Activa los avisos para informarte sobre los cambios de precipitaciones.,Aktifkan notifikasi agar tetap terinfokan tentang perubahan presipitasi.,Aktivera aviseringar för att hålla dig uppdaterad om nederbördsförändringar.,,,
onboarding_push_notifications_prepermission_action_primary,Continue,Continue,Fortfahren,Kontynuuj,Continuar,Continuar,Continuar,Lanjut,Fortsätt,,,
onboarding_push_notifications_prepermission_action_secondary,Continue without allowing,Continue without allowing,Fortfahren ohne Zugriff,Kontynuuj bez pozwalania,Continuar sem permitir,Continuar sin dar acceso,Continuar sin permitir,Lanjut tanpa izinkan,Fortsätt utan att tillåta,,,
onboarding_notifications_lock_screen_timestamp,9:41,9:41,9:41,9:41,9:41,9:41,9:41,9:41,9:41,,,
onboarding_notifications_lock_screen_date,"May 2, Wednesday","May 2, Wednesday","2. Mai, Mittwoch","2 maja, środa","2 de maio, quarta-feira","2 de mayo, miércoles","2 de mayo, miércoles","2 Mei, Rabu","2 maj, onsdag",,,
onboarding_notification_app_name,Rainbow.ai,Rainbow.ai,Rainbow.ai,Rainbow.ai,Rainbow.ai,Rainbow.ai,Rainbow.ai,Rainbow.ai,Rainbow.ai,,,
onboarding_notification_top_timestamp,30m ago,30m ago,vor 30 Min.,30 min temu,30 min atrás,Hace 30 m,Hace 30 m,30m lalu,30m sedan,,,
onboarding_notification_top_body,💦 ☔ Get ready! The rain starts at 09:50 and ends at 10:20.,💦☂️Get ready! The rain starts at 09:50 am and ends at 10:20 am.,💦☂️Bereiten Sie sich vor! Der Regen beginnt um 09:50 und endet um 10:20.,💦☂️Przygotuj się! Od 09:50do 10:20 będzie padać deszcz.,💦☂️Prepare-se! A chuva começa às 09:50 e termina às 10:20.,💦☂️¡Preparados! La lluvia empieza en 09:50 y termina en 10:20.,💦☂️¡Prepárense! La lluvia comienza a las 09:50 y termina a las 10:20.,💦 ☔ Bersiaplah! Hujan dimulai pada 09:50 dan berakhir pada 10:20.,💦 ☔ Förbered dig! Det börjar regna 09:50 och slutar 10:20.,,,
onboarding_notification_bottom_body,🌨️ Expect...,🌨️ Expect...,🌨️ Erwartet …,🌨️ Oczekuj...,🌨️Espera-se...,🌨️ Espera...,🌨️ Espera...,🌨️ Akan ada...,🌨️ Förvänta dig ...,,,
onboarding_notification_bottom_timestamp,1hr ago,1hr ago,vor 1 Std.,1 godz. temu,1 h atrás,Hace 1 h,Hace 1 hora,1j lalu,1h sedan,,,
onboarding_precipitation_noaa_color_scheme,NOAA,NOAA,NOAA,NOAA,NOAA,NOAA,NOAA,NOAA,NOAA,,,
onboarding_precipitation_rainbow_color_scheme,Rainbow,Rainbow,Rainbow,Rainbow,Rainbow,Rainbow,Rainbow,Rainbow,Rainbow,,,
onboarding_precipitation_content_text_primary,Personalize your precipitation overlay,Personalize your precipitation overlay,Niederschlags-Overlay personalisieren,Spersonalizuj nakładkę opadów,Personalize sua sobreposição de precipitação,Personaliza tu cobertura de precipitaciones,Personaliza tu superposición de precipitaciones,Personalisasikan hamparan presipitasi Anda,Anpassa ditt överlägg för nederbörd,,,
onboarding_precipitation_content_text_secondary,Pick the color scheme that matches your preferred style for how the map looks.,Pick the colour scheme that matches your preferred style for how the map looks.,Wählen Sie das gewünschte Farbschema für das Aussehen der Karte.,"Wybierz kolorystykę, która odpowiada preferowanemu stylowi wyglądu mapy.",Escolha o esquema de cores correspondente ao seu estilo preferido para o visual do mapa.,Elige la combinación de colores que mejor se adapte a tu estilo.,Elije el esquema de color que coincida con tu estilo preferido para el mapa.,Pilih skema warna yang cocok dengan gaya pilihan Anda untuk tampilan peta.,Välj det färgschema som matchar din önskade stil för kartan.,,,
onboarding_precipitation_action_primary,Save & Continue,Save & Continue,Speichern und fortfahren,Zapisz i kontynuuj,Salvar e continuar,Guardar y continuar,Guardar y continuar,Simpan & Lanjut,Spara och fortsätt,,,
onboarding_widgets_content_text_primary,Weather at a glance,Weather at a glance,Wetter im Überblick,Pogoda w skrócie,Clima de imediato,El clima en breve,El tiempo de un vistazo,Cuaca dalam sekilas,Vädret i en överblick,,,
onboarding_widgets_content_text_secondary,Set up a widget to access quick updates on rain and daily forecasts.,Set up a widget to access quick updates on rain and daily forecasts.,Mit dem Widget erhalten Sie schnell aktuelle Regen- und Tagesvorhersagen.,"Skonfiguruj widżet, aby uzyskać dostęp do szybkich aktualizacji dotyczących deszczu i dziennych prognoz.",Configure um widget para acessar atualizações rápidas sobre previsões diárias e de chuva.,Configura un widget para acceder a actualizaciones rápidas sobre la lluvia y los pronósticos diarios.,Configura un widget para acceder a información sobre lluvia y pronósticos diarios.,Atur widget untuk mengakses pembaruan cepat tentang prakiraan hujan dan harian.,Lägg till en widget för att få snabba uppdateringar om regn och dagliga prognoser.,,,
onboarding_widgets_action_primary,How to add a widget?,How to add a widget?,Wie füge ich ein Widget hinzu?,Jak dodać widżet?,Como adicionar um widget?,¿Cómo añadir un widget?,¿Cómo agregar un widget?,Bagaimana cara menambahkan widget?,Hur lägger jag till en widget?,,,
onboarding_widgets_action_secondary,Skip tutorial,Skip tutorial,Tutorial überspringen,Pomiń samouczek,Pular tutorial,Omitir tutorial,Saltar tutorial,Lewati panduan,Hoppa över handledningen,,,
hurricane_card_central_pressure,Central pressure,Central pressure,Zentraldruck,Ciśnienie w centrum,Pressão central,Presión central,Presión central,Tekanan pusat,Centralt tryck,,,
,Preview,Preview,Vorschau,Podgląd,Visualização,Vista previa,Vista previa,Pratinjau,Förhandsgranskning,,,
,Full screen,Full screen,Vollbildschirm,Pełny ekran,Tela cheia,Pantalla completa,Pantalla completa,Layar penuh,Helskärm,,,
,Mini square,Mini square,Mini-Quadrat,Mały kwadrat,Mini quadrado,Minirecuadros,Minicuadrado,Kotak mini,Liten kvadrat,,,
,Sharing completed!,Sharing completed!,Teilen abgeschlossen!,Udostępniono!,Compartilhamento concluído!,¡Compartir finalizado!,Se ha completado la compartición,Selesai berbagi!,Delningen har slutförts!,,,
,Distance,Distance,Entfernung,Dystans,Distância,Distancia,Distancia,Jarak,Avstånd,Расстояние,Distance,
settings_severe_weather_alerts_section_name,Severe weather alerts,Severe weather alerts,Unwetterwarnungen,Alerty o groźnej pogodzie,Alertas de mau tempo,Alertas de mal tiempo,Alertas de mal tiempo,Sinyal cuaca buruk,Varningar för svårt väder,,,
settings_hurricane_tracker_setting_name,Hurricane tracker,Hurricane tracker,Orkan-Tracker,Monitor huraganu,Rastreador de furacões,Rastreador de huracanes,Rastreador de huracanes,Pelacak Topan,Orkanspårare,Трекер ураганов,Suivi des ouragans,
,Stay Safe,Stay Safe,Bleiben Sie sicher,Uważaj na siebie,Proteja-se,Ponte a salvo,Manténgase a salvo,Berhati-hatilah,Håll er säkra,,,
,Stay prepared for hurricanes,Stay prepared for hurricanes,Bleiben Sie auf Hurrikans vorbereitet,Przygotuj się na huragany,Prepare-se para furacões,Preparado para los huracanes,Manténgase preparado para los huracanes,Bersiaplah menghadapi topan,Håll dig förberedd för orkaner,,,
,Track hurricane movements and plan ahead to ensure the safety of you and your loved ones.,Track hurricane movements and plan ahead to ensure the safety of you and your loved ones.,"Verfolgen Sie die Bewegungen von Hurrikans und planen Sie im Voraus, um Ihre Sicherheit und die Ihrer Angehörigen zu gewährleisten.","Śledź ruchy huraganów i planuj z wyprzedzeniem, aby zapewnić bezpieczeństwo sobie i bliskim.",Acompanhe os movimentos do furacão e planeje-se para manter você e seus entes queridos seguros.,Rastrea los movimientos de los huracanes y planea con antelación para garantizar tu seguridad y la de los tuyos.,Siga los movimientos de los huracanes y planifique con antelación para garantizar su seguridad y la de sus seres queridos.,Lacak pergerakan topan dan susun rencana demi memastikan keselamatan Anda dan orang terdekat.,Följ orkanernas rörelser och planera framåt för att garantera säkerheten för dig och dina nära och kära.,,,
hurricane_tooltip,Enable Hurricane Tracker here,Enable Hurricane Tracker here,Orkan-Tracker hier aktivieren,Włącz tutaj Śledzenie huraganów,Habilite o Rastreador de Furacões aqui,Habilitar rastreador de huracanes aquí,Habilita el rastreador de huracanes aquí,Formasi Badai Tropis,Tropisk stormbildning,,,
,mbar,mbar,mbar,mbar,mbar,mbar,mbar,mbar,mbar,,,
,,,,,,,,,,,,
storm_notification_stay_updated,Stay updated.,Stay updated.,Bleiben Sie auf dem Laufenden.,Bądź na bieżąco.,Fique por dentro.,Manténgase al día.,Mantente actualizado.,Tetap perbarui.,Tetap perbarui.,,,
storm_notification_open_app,Open the app,Open the app,Öffnen Sie die App,Otwórz aplikację,Abra o aplicativo,Abrir la aplicación,Abre la aplicación,Buka aplikasi,Buka aplikasi,,,
storm_notification_stay_safe,Stay safe.,Stay safe.,Bleiben Sie sicher.,Uważaj na siebie.,Fique em segurança.,Manténgase a salvo.,Mantente seguro.,Jaga keselamatan.,Jaga keselamatan.,,,
storm_notification_stay_informed,Stay informed,Stay informed,Bleiben Sie informiert,Śledź informacje,Tenha informações,Manténgase informado,Mantente informado,Tetap terinformasi,Tetap terinformasi,,,
storm_notification_tap_details,Tap to see details,Tap to see details,Tippen Sie für weitere Details,"Stuknij, aby zobaczyć szczegóły",Toque para ver os detalhes,Pulse para ver los detalles,Toca para ver los detalles,Ketuk untuk melihat detailnya,Ketuk untuk melihat detailnya,,,
storm_notification_severe_update,Severe weather update,Severe weather update,Unwetter-Update,Aktualizacja dotycząca groźnej pogody,Atualização de clima severo,Actualización sobre el mal clima,Actualización sobre el mal tiempo,Pembaruan cuaca buruk,Pembaruan cuaca buruk,,,
storm_notification_tropical_storm_alert,Tropical Storm Alert,Tropical Storm Alert,Tropensturmwarnung,Ostrzeżenie o burzy tropikalnej,Alerta de tempestade tropical,Alerta de Tormenta Tropical,Alerta de tormenta tropical,Peringatan Badai Tropis,Peringatan Badai Tropis,,,
storm_notification_category_change,%@: Category Change,%@: Category Change,%@: Kategorieänderung,%@: zmiana kategorii,%@: Mudança de categoria,%@: Cambio de categoría,%@: cambio de categoría,%@: Perubahan Kategori,%@: Perubahan Kategori,,,
storm_notification_hurricane_alert,Hurricane Alert,Hurricane Alert,Wirbelsturmwarnung,Ostrzeżenie o huraganie,Alerta de furacão,Alerta de Huracán,Alerta de huracán,Peringatan Badai,Peringatan Badai,,,
storm_notification_tropical_depression_formation,Tropical Depression Formation,Tropical Depression Formation,Bildung eines tropischen Tiefdruckgebiets,Formacja depresji tropikalnej,Formação de depressão tropical,Formación de Depresión Tropical,Formación de depresiones tropicales,Formasi Depresi Tropis,Formasi Depresi Tropis,,,
storm_notification_tropical_storm_formation,Tropical Storm Formation,Tropical Storm Formation,Bildung eines Tropensturms,Formacja burzy tropikalnej,Formação de tempestade tropical,Formación de Tormenta Tropical,Formación de tormentas tropicales,Formasi Badai Tropis,Formasi Badai Tropis,,,
storm_notification_invest_formation,Invest Formation,Invest Formation,Bildung eines Wirbelsturmentstehungsgebiets,Formacja obszaru burzowego,Formação de área de investigação,Formación de Inversión Meteorológica,Formación de Invest,Formasi Investasi,Formasi Investasi,,,
storm_notification_observation_time,Observation time: %@.,Observation time: %@.,Beobachtungszeitpunkt: %@.,Czas obserwacji: %@.,Tempo de observação: %@.,Tiempo de observación: %@.,Hora de observación: %@.,Waktu pengamatan: %@.,Waktu pengamatan: %@.,,,
storm_notification_keep_track,Keep track of a hurricane’s strength,Keep track of a hurricane’s strength,Behalten Sie die Stärke des Wirbelsturms im Auge,Monitoruj siłę huraganu,Monitore a força de um furacão,Manténgase al tanto de la fuerza de un huracán,Seguimiento de la fuerza de un huracán,Melacak kekuatan badai,Melacak kekuatan badai,,,
storm_notification_direction,Direction: %@.,Direction: %@.,Richtung: %@.,Kierunek: %@.,Direção: %@.,Dirección: %@.,Dirección: %@.,Arah: %@.,Arah: %@.,,,
storm_notification_wind_speed,Wind speed: %@.,Wind speed: %@.,Windgeschwindigkeit: %@.,Prędkość wiatru: %@.,Velocidade do vento: %@.,Velocidad del viento: %@.,Velocidad del viento: %@.,Kecepatan angin: %@.,Kecepatan angin: %@.,,,
storm_notification_storm_expired,%@ %@ has expired.,%@ %@ has expired.,%@ %@ hat sich aufgelöst.,%@ %@ wygasł(a).,%@ %@ expirou.,%@ %@ ha expirado.,%@ %@ ha terminado.,%@ %@ telah kadaluwarsa.,%@ %@ telah kadaluwarsa.,,,
storm_notification_downgrade_to_trop_depression,%@ has been downgraded to Tropical Depression.,%@ has been downgraded to Tropical Depression.,%@ wurde heruntergestuft auf ein tropisches Tiefdruckgebiet.,%@ ma teraz niższą kategorię: Depresja tropikalna.,%@ foi rebaixado para Depressão Tropical.,%@ se ha degradado a Depresión Tropical.,%@ se ha degradado a depresión tropical.,%@ telah diturunkan ke Depresi Tropis.,%@ telah diturunkan ke Depresi Tropis.,,,
